,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,LCC_financial,,,,CER,$/GJ,11.77141634,12.08612364,13.77092055,16.35887262,17.56987223,18.12239991,18.70180925,19.04278219,19.61302855,20.62740081,21.31436356,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,LCC_financial,,,,EA Energy Analyses (2015) & Brown et al. (2020),$/GJ,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Emissions_biomass,CO2,Combustion,,,tCO2,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,LCC_financial,,,,,$/GJ,33,33,33,33,33,33,33,33,33,33,33,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Emissions_biomass,CO2,Combustion,,,tCO2,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,LCC_financial,,,,,$/GJ,70.42253521,63.38028169,57.04225352,51.33802817,46.20422535,41.58380282,37.42542254,33.68288028,30.31459225,27.28313303,24.55481973,Temporarily use $10.00-3.50/kg
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
