,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.Generic Fuels,Service,CIMS,,Generic Fuels,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels,Service,CIMS,,Generic Fuels,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Biogas,Service,CIMS,,Biogas,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Biogas,Service,CIMS,,Biogas,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Biogas,Service,CIMS,,Biogas,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Biogas,Service,CIMS,,Biogas,,LCC_financial,,,,JCIMS,$/GJ,17.985,17.985,7.71,4.35,5.295,4.515,5.1,5.4,5.67,5.67,5.67,Roughly based on FortisBC markup for RNG vs NG
CIMS.Generic Fuels.Biogas,Service,CIMS,,Biogas,,Emissions_biomass,CO2,Combustion,,"ECCC, NIR",tCO2,0.05065950639326,0.05026909540566,0.04992671532412,0.04902041113972,0.0489705183935,0.0489705183935,0.0489705183935,0.0489705183935,0.0489705183935,0.0489705183935,0.0489705183935,
CIMS.Generic Fuels.Biogas,Service,CIMS,,Biogas,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.Generic Fuels.Biogas,Service,CIMS,,Biogas,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000097394051,0.00000096706746,0.00000096053998,0.0000009429154,0.00000094195571,0.00000094195571,0.00000094195571,0.00000094195571,0.00000094195571,0.00000094195571,0.00000094195571,
CIMS.Generic Fuels.Biogas,Service,CIMS,,Biogas,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000086864965,0.00000086251963,0.00000085669782,0.0000008409786,0.00000084012266,0.00000084012266,0.00000084012266,0.00000084012266,0.00000084012266,0.00000084012266,0.00000084012266,
CIMS.Generic Fuels.Black Liquor,Service,CIMS,,Black Liquor,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Black Liquor,Service,CIMS,,Black Liquor,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Black Liquor,Service,CIMS,,Black Liquor,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Black Liquor,Service,CIMS,,Black Liquor,,LCC_financial,,,,JCIMS,$/GJ,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Cost in pulp & paper - BC (use $0.0001 instead of $0.00)
CIMS.Generic Fuels.Black Liquor,Service,CIMS,,Black Liquor,,Emissions_biomass,CO2,Combustion,,"ECCC, NIR",tCO2,0.09124087591241,0.0912408752065,0.09124087911204,0.09124087419731,0.09124087870255,0.09124087870255,0.09124087870255,0.09124087870255,0.09124087870255,0.09124087870255,0.09124087870255,
CIMS.Generic Fuels.Black Liquor,Service,CIMS,,Black Liquor,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.Generic Fuels.Black Liquor,Service,CIMS,,Black Liquor,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000218978102,0.000002189781,0.0000021897811,0.00000218978098,0.00000218978109,0.00000218978109,0.00000218978109,0.00000218978109,0.00000218978109,0.00000218978109,0.00000218978109,
CIMS.Generic Fuels.Black Liquor,Service,CIMS,,Black Liquor,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.0000003649635,0.0000003649635,0.00000036496352,0.0000003649635,0.00000036496351,0.00000036496351,0.00000036496351,0.00000036496351,0.00000036496351,0.00000036496351,0.00000036496351,
CIMS.Generic Fuels.Coal,Service,CIMS,,Coal,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Coal,Service,CIMS,,Coal,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Coal,Service,CIMS,,Coal,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Coal,Service,CIMS,,Coal,,LCC_financial,,,,JCIMS,$/GJ,3.38682274908735,3.28741574529484,2.98919473391728,2.98919473391728,2.98919473391728,2.98919473391728,2.98919473391728,2.98919473391728,2.98919473391728,2.98919473391728,2.98919473391728,Average cost to electricity generators based on JCIMS coal varieties - ON
CIMS.Generic Fuels.Coal,Service,CIMS,,Coal,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.08009197563959,0.0838288730709,0.08157149407792,0.08076702120889,0.08141955734828,0.08141955734828,0.08141955734828,0.08141955734828,0.08141955734828,0.08141955734828,0.08141955734828,
CIMS.Generic Fuels.Coal,Service,CIMS,,Coal,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000109966099,0.00000115096851,0.00000111997475,0.00000110892935,0.00000111788866,0.00000111788866,0.00000111788866,0.00000111788866,0.00000111788866,0.00000111788866,0.00000111788866,
CIMS.Generic Fuels.Coal,Service,CIMS,,Coal,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000073310733,0.00000076731234,0.00000074664983,0.00000073928624,0.00000074525911,0.00000074525911,0.00000074525911,0.00000074525911,0.00000074525911,0.00000074525911,0.00000074525911,
CIMS.Generic Fuels.Coke,Service,CIMS,,Coke,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Coke,Service,CIMS,,Coke,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Coke,Service,CIMS,,Coke,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Coke,Service,CIMS,,Coke,,LCC_financial,,,,JCIMS,$/GJ,3.47166076159537,3.67899145199039,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,Cost in iron & steel - ON
CIMS.Generic Fuels.Coke,Service,CIMS,,Coke,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.11005896543937,0.11005896611747,0.11005898524738,0.11005896964909,0.11005896413461,0.11005896413461,0.11005896413461,0.11005896413461,0.11005896413461,0.11005896413461,0.11005896413461,
CIMS.Generic Fuels.Coke,Service,CIMS,,Coke,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000104058272,0.00000104058272,0.0000010405829,0.00000104058276,0.00000104058271,0.00000104058271,0.00000104058271,0.00000104058271,0.00000104058271,0.00000104058271,0.00000104058271,
CIMS.Generic Fuels.Coke,Service,CIMS,,Coke,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000069372181,0.00000069372182,0.00000069372194,0.00000069372184,0.0000006937218,0.0000006937218,0.0000006937218,0.0000006937218,0.0000006937218,0.0000006937218,0.0000006937218,
CIMS.Generic Fuels.Diesel,Service,CIMS,,Diesel,,Service provided,,,,,GJ,,,,,,,,,,,,
