,Sales,Production,Taxes Paid on Production,Used Input Costs,Bought Input Costs,Operating Surplus,Wages,Inventory Changes,Profits,Capital Bought,Household Consumption,Government Consumption,Taxes on Products,Imports,Exports,PPI,CPI,CFPI,Gross Output,Unemployment Rate,Consumption Expansion Loan Debt,Mortgage Debt,Central Bank Policy Rate,Exchange Rate USD to LCU,Firm Input Emissions,Firm Capital Emissions,Household Consumption Emissions,Household Investment Emissions,Government Emissions,Firm Input Emissions Coal,Firm Capital Emissions Coal,Household Consumption Emissions Coal,Household Investment Emissions Coal,Government Emissions Coal,Firm Input Emissions Gas,Firm Capital Emissions Gas,Household Consumption Emissions Gas,Household Investment Emissions Gas,Government Emissions Gas,Firm Input Emissions Oil,Firm Capital Emissions Oil,Household Consumption Emissions Oil,Household Investment Emissions Oil,Government Emissions Oil,Firm Input Emissions Refined Products,Firm Capital Emissions Refined Products,Household Consumption Emissions Refined Products,Household Investment Emissions Refined Products,Government Emissions Refined Products,Household Consumption Carbon Tax,Household Investment Carbon Tax,Firm Inputs Carbon Tax,Firm Capital Carbon Tax
0,826110439298.917,757388254275.1345,10612062422.024511,401945487773.98987,401945487773.98987,68342871714.811035,355822079810.11615,0.0,-12826774971.025904,68342871714.81098,222656829504.2961,121909363572.97414,25203972287.154297,147524112177.96756,143284401459.53668,1.0,1.0,1.0,836722501720.9415,0.06928532460447354,122928975746.53918,701570887847.5276,0.011947799144490283,1.0,90402675.7821475,2020615.1997707728,23303498.595785927,1045369.6354945148,677191.2871369125,30135237.904519614,265186.8072988806,2474807.4600779745,137194.9672136653,2808940.897363648,7255041.501890534,57666.17684299652,538159.0512341474,29833.72107344545,765322.3273589805,17552222.477044635,1420598.6665834498,4850584.564155174,734949.7867970137,627095.2873941539,37757372.66595823,279715.99657966866,15439947.520318631,143391.1604103903,508877.05700158817,0.0,0.0,0.0,0.0
1,838901703585.5593,757388254275.1345,10913944499.768898,408746706423.2102,408744352350.28217,68714308218.565834,361138806866.03894,1910636953.5731304,-10633682780.940855,67802199608.8995,249446116465.72656,121997234684.7916,25955690454.254677,149779363953.36438,124751776283.73317,1.0148983369400701,1.014942094258906,0.9920990465705161,849815648085.3282,0.07092198581560284,112684894434.32758,458233738796.13794,0.011947799144490283,1.104747132,79707083.65169038,1768083.341408795,22429345.997677006,780655.0749927366,551857.0159609339,27070486.130019676,238217.32589580445,2344690.202817166,11107.505845098454,2508170.107085877,6520542.350589276,51828.06303772992,4678703.654435408,649397.8494703157,683724.5247956464,15284407.871295543,1237051.858810302,535758.9344183751,27207.454917275987,542803.9461111922,30831647.299785875,240986.09366495864,14870193.206006058,92942.26476004641,439806.55176775146,0.0,0.0,0.0,0.0
2,824182615441.8582,755734420423.9846,13912643720.980755,400089104681.08685,400124616980.132,66581967671.282455,354512843868.2769,2040904390.813714,-13163386403.082718,67324793000.592705,247286165888.65518,123292103591.81941,25729626696.89305,147214994762.38733,117705481160.40503,1.000332032553583,0.9974057695536152,0.985264481515093,838095259162.8389,0.07146753955264594,98420067745.51785,454383035108.7754,0.011947799144490283,1.104747132,77680689.0458239,1758784.1795921999,18939226.300220504,821289.4089176158,609590.883997337,27344562.5273394,240885.6885809301,1610601.788037396,88125.49966360602,2648732.5098060537,6494430.841057367,51657.82618001911,4224286.840979065,599330.7422257289,711698.036046393,15300767.870819937,1242970.136514507,466810.237653041,24352.90438319536,569585.9205294043,28540927.80660719,223270.52831674405,12637527.433550999,109480.26264508536,425544.1002851677,745200487.7900904,32315220.191181548,3056496947.192839,69202765.08520001
3,822805314408.6628,754080300431.2937,15722708224.468151,402572851062.8523,402657315076.8009,63512210414.183945,354910188428.13916,4442293581.298154,-14710350556.166008,69163760154.69589,241261868131.0239,123233285017.08073,25367813005.77871,147314846759.37726,119132595672.128,1.0050335552230307,1.0041387004893236,1.0169696413997174,838528022633.131,0.07201309328968904,88153867612.77022,450532331421.41296,0.011947799144490283,1.104747132,77219500.71530356,1733534.1559800052,17658952.432770476,758150.0693528508,604039.4720629624,27027142.35535375,237138.84867048624,1293036.1906151432,72566.10312531993,2643898.4006808526,6635091.120286584,52606.40600531141,3884528.598882386,557260.2450722192,734874.5799441328,15029411.973410664,1221289.7512282368,439472.33812373143,23224.11054554661,567456.0301487254,28527855.266252555,222499.1500759711,12041915.305149216,105099.61060976503,429988.1449336354,1116258688.012979,47924224.55152338,4881203394.461989,109580257.9426473
4,807692026184.4276,750422782075.0254,16564125242.078283,397547232930.6549,397602200904.3009,59079733708.010895,350223642528.15173,1478347522.1695797,-16793876782.3208,67779652070.579315,241828590676.46722,113945959819.07576,25283823343.238743,144952544558.61633,121161276038.04309,0.9908962989106463,0.9956038077161329,1.0150716030179074,824256151426.5059,0.07146753955264594,76059663458.02858,446681627734.0504,0.011947799144490283,1.104747132,76270352.89465086,1686450.3139982317,16543120.941797908,719024.1769878548,620680.4644598033,27317173.68696582,237801.55019040802,1188732.751278515,67394.04646465431,2826229.9526199754,6672345.187127457,52218.65019939898,3679877.2563159377,530621.35353215,777590.5827960072,14728053.154833566,1184624.4643874923,419712.8660397519,22344.149918709736,586739.0027484057,27552780.865724023,211805.64922093228,11254798.068163704,98664.62707234078,436331.3554090032,1285185171.66997,55858819.72259618,5925213683.869017,131015238.53534366
5,807194881616.7157,749404090225.6797,17053694471.709929,398763188028.7239,398880758031.2175,57625878142.60072,350316246215.7596,2451782481.6385975,-18488759690.446095,67793093642.971115,237734621577.8061,118196945782.49292,24950050251.87552,144951772996.85995,119380910307.53366,0.9931656005497357,0.9961712113487208,1.0128429020326954,824248576088.4257,0.06873977086743044,66552205525.77501,442830924046.6879,0.011947799144490283,1.104747132,75403027.08291727,1652175.7023232481,16226755.952606674,690265.7690205255,649353.7269170939,26723773.233342573,233874.51076476157,1090655.2543522383,62249.39705154135,3004663.114213387,6831831.507927726,53529.16246503004,3508324.018933248,507247.5287794646,861659.8941458726,14161612.506006032,1151214.3452540478,417868.39588858094,22338.255750634788,616368.6394780301,27685809.83564092,213557.68383940877,11209908.28343261,98430.5874388848,475569.6884013974,1403070333.9749258,59684845.56615944,6519833705.575269,142857803.56926817
6,795805221013.7366,747400806568.214,17285912508.69774,395551692653.30927,395725835783.58673,53396437042.539795,346624873280.89954,3705872486.106249,-19598183251.5663,65610597331.500946,233840884782.5016,115070293847.26529,24801835718.07116,143058730283.90836,117752265974.17157,0.9809892675138038,0.9902500948496672,0.9806441757033013,813091133522.4343,0.07037643207855974,57011725301.31947,438980220359.32544,0.011947799144490283,1.104747132,73549165.74396683,1622324.3103456327,15413892.041666538,673166.7615518473,699989.3214878971,26771865.97895893,234246.05097410336,1069835.6662493797,61206.87331775903,3350930.5875415793,6849367.064538572,53885.62963200417,3437086.38567542,497500.99874773214,965825.4672729567,13790075.396765942,1132454.9345655155,412424.06495096575,22124.478946290328,675127.0825038499,26137857.30370338,201737.69517400963,10494545.924790774,92334.41054006584,500226.0205332402,1414864273.4637415,61790986.88562095,6751188257.508441,148915582.15633938
7,767683029890.3115,744471274498.3114,17159222110.24697,381886829567.3674,382016404453.3638,51760820862.251434,334162069859.1433,1489914176.9946425,-17117709045.767628,64031900769.942,235308676408.059,103701159353.18494,24178622253.074852,138198043688.49597,113271701604.43172,0.9495823909682213,0.9593896536920058,0.9574767746720817,784842252000.5585,0.07092198581560284,47509771084.43289,435129516671.9629,0.011947799144490283,1.104747132,74148495.75209655,1613695.1452007836,15289860.072772205,655257.8428559739,799417.3567691594,27320108.03623136,237981.4822584002,1048129.7922278163,60034.31915410812,3970989.7302474473,6900570.246455541,54570.159675018615,3324230.3511675857,481055.85968919686,1140888.9154035323,13458202.362058563,1116707.5270348573,406564.39622862265,21829.526028340704,776544.7535311205,26469615.107351087,204435.9762325073,10510935.533148179,92338.13798432815,591287.902524287,1452862276.3994021,62263447.58351244,7045685952.471265,153335399.46817818
8,743184801348.3673,743048520593.2731,17173278294.822529,372681863165.48395,372776309216.73364,48091084184.66225,322397797813.64575,3121328283.4456573,-14558951314.209164,59726918417.627,228816082072.16528,100782243373.94962,22588213319.884605,133856752845.49352,109423545111.49274,0.922291938146164,0.9291334242083987,0.8966064673467207,760358079643.1898,0.07146753955264594,38007816867.54632,431278812984.60034,0.011947799144490283,1.104747132,75847341.38769537,1682945.4298294112,15198707.644888746,669654.3475758417,1031788.6199991277,27927907.112949062,242500.18192349706,1028229.1541204944,58945.64307629975,5092848.320716033,7133439.660171995,56399.12337228068,3445264.142098377,498116.2270807798,1484067.1915089367,14121826.836889189,1178795.9581594057,409266.5924759385,21980.980103936745,1031712.6580113196,26664167.777685124,205250.16637422759,10315947.756193936,90611.49731482551,747167.9964077091,1473974644.2612317,64943253.84816715,7355695013.824765,163212488.1406014
9,753787896798.816,739018602368.9998,17371355558.720196,378055973972.3266,378164544646.14374,49636798740.91707,325897046821.6746,6742736154.571835,1694517090.3681793,61538253903.31858,214516568748.55945,108897434196.6789,23290652025.928696,135793770159.63211,113788254877.1642,0.9377374314543688,0.9383513663661603,0.9185947818184492,771159252357.5363,0.07146753955264594,28505862650.659737,427428109297.23785,0.011947799144490283,1.104747132,75394707.29657945,1609087.8828382913,15185380.211213918,616628.8674061068,1201631.6070155827,27268880.16623574,238783.9370645102,969505.5515534042,55599.66317455185,6147112.1250945255,6790427.201655433,54056.349944678215,3084196.754655135,446351.5678775008,1743593.6596674544,13082214.30610438,1096566.00791866,377940.3449190245,20310.81791900648,1176446.6928488533,28253185.62258392,219681.5879104424,10753737.560086358,94366.81843504761,980270.0994482426,1490725027.0877194,60533491.574232735,7401380506.361349,157961641.02359873
